email_text,category,sentiment
"Hey there, Lose weight fast with this miracle pill. Buy now!",Spam,Neutral
It was wonderful seeing you over the weekend. Let's catch up again soon!,Personal,Positive
The service at your restaurant was terrible. I waited an hour for my food.,Complaint,Negative
Your payment has been successfully received. Thank you for your business.,Finance,Positive
The service at your restaurant was terrible. I waited an hour for my food.,Complaint,Negative
"Dear team, Your assignment is due on Friday by 11:59 PM via the student portal.",Education,Neutral
How do I reset my password? I forgot it.,Customer Support,Neutral
I am writing to request an extension on my project deadline due to a family emergency.,Education,Negative
Upgrade now to premium and get the first month entirely free.,Promotion,Positive
How do I reset my password? I forgot it.,Customer Support,Neutral
Lose weight fast with this miracle pill. Buy now!,Spam,Neutral
It was wonderful seeing you over the weekend. Let's catch up again soon!,Personal,Positive
Important notice: Your account will be suspended if you do not verify your email.,Important,Negative
"Hi, Your computer is infected with a virus! Call this number to fix it.",Spam,Negative
"Hey there, I would like to schedule an interview with you for next Tuesday at 11 AM.",Job/Career,Neutral
"Hello, The server is down again. This is unacceptable, please fix it ASAP.",Work,Negative
"Dear team, I would like to schedule an interview with you for next Tuesday at 11 AM.",Job/Career,Neutral
"Hello, I am disappointed with the delay in the project delivery. We need to discuss this.",Work,Negative
Get 50% off your next purchase using this exclusive promo code!,Promotion,Positive
"Hey there, Critical update regarding the company policy changes starting next month.",Important,Neutral
"Hey there, Here is the budget breakdown for the next fiscal year.",Finance,Neutral
Can you pick up some groceries on your way back?,Personal,Neutral
"Hey, are we still on for dinner tonight at 2 PM?",Personal,Neutral
Can you pick up some groceries on your way back?,Personal,Neutral
Make money from home with zero investment. Join our scheme today.,Spam,Neutral
"Hello, Your invoice #4923 is attached. Please process the payment by the 15th.",Finance,Neutral
Happy Birthday! Hope you have a fantastic day.,Personal,Positive
"Hi, Your computer is infected with a virus! Call this number to fix it.",Spam,Negative
The meeting yesterday was very productive. Thanks for organizing.,Meeting,Positive
"Hello, Lose weight fast with this miracle pill. Buy now!",Spam,Neutral
"Hey there, The software update completely broke my application workflow.",Complaint,Negative
URGENT: The production database is down. We need immediate assistance.,Important,Negative
"Dear team, Flash sale! All items are 20% off for the next 24 hours.",Promotion,Positive
Here is the budget breakdown for the next fiscal year.,Finance,Neutral
URGENT: The production database is down. We need immediate assistance.,Important,Negative
I have been trying to reach support for days with no response. This is frustrating.,Complaint,Negative
"Dear team, We need to postpone the meeting because key stakeholders are unavailable.",Meeting,Negative
The product I received is damaged. I want a full refund immediately.,Complaint,Negative
Please find attached the report for Q3. Let me know if you need any revisions.,Work,Neutral
Critical update regarding the company policy changes starting next month.,Important,Neutral
"Hi, Get 50% off your next purchase using this exclusive promo code!",Promotion,Positive
The meeting yesterday was very productive. Thanks for organizing.,Meeting,Positive
We are excited to offer you the position of Data Scientist at our company!,Job/Career,Positive
"Dear team, Please find attached the report for Q3. Let me know if you need any revisions.",Work,Neutral
"Dear team, We noticed an overdue balance on your account. Please pay immediately to avoid fees.",Finance,Negative
Action Required: Update your account security settings before the deadline.,Important,Neutral
URGENT: The production database is down. We need immediate assistance.,Important,Negative
I am disappointed with the delay in the project delivery. We need to discuss this.,Work,Negative
